# Absorcion de rayos X cerca del borde
# Olla-DFT (entonces QEkit 0.12.0) — generado 2026-08-29 01:14 UTC
# comando: olla-dft xanes Si8.cif --collect -o run --element Si --edge K --format png
# parámetros: elemento = Si; borde = K; xgamma_eV = 0.8
#       E-EF(eV)           sigma         sigma_x         sigma_y         sigma_z
     -5.515516       0.000153       0.000153       0.000153       0.000153
     -5.475475       0.000154       0.000154       0.000154       0.000154
     -5.435435       0.000156       0.000156       0.000156       0.000156
     -5.395395       0.000157       0.000157       0.000157       0.000157
     -5.355355       0.000158       0.000158       0.000158       0.000158
     -5.315315       0.000160       0.000160       0.000160       0.000160
     -5.275275       0.000161       0.000161       0.000161       0.000161
     -5.235235       0.000162       0.000162       0.000162       0.000162
     -5.195195       0.000164       0.000164       0.000164       0.000164
     -5.155155       0.000165       0.000165       0.000165       0.000165
     -5.115115       0.000166       0.000166       0.000166       0.000166
     -5.075075       0.000168       0.000168       0.000168       0.000168
     -5.035035       0.000169       0.000169       0.000169       0.000169
     -4.994995       0.000171       0.000171       0.000171       0.000171
     -4.954955       0.000172       0.000172       0.000172       0.000172
     -4.914915       0.000174       0.000174       0.000174       0.000174
     -4.874875       0.000176       0.000176       0.000176       0.000176
     -4.834835       0.000177       0.000177       0.000177       0.000177
     -4.794795       0.000179       0.000179       0.000179       0.000179
     -4.754755       0.000180       0.000180       0.000180       0.000180
     -4.714715       0.000182       0.000182       0.000182       0.000182
     -4.674675       0.000184       0.000184       0.000184       0.000184
     -4.634635       0.000185       0.000185       0.000185       0.000185
     -4.594595       0.000187       0.000187       0.000187       0.000187
     -4.554555       0.000189       0.000189       0.000189       0.000189
     -4.514515       0.000191       0.000191       0.000191       0.000191
     -4.474474       0.000192       0.000192       0.000192       0.000192
     -4.434434       0.000194       0.000194       0.000194       0.000194
     -4.394394       0.000196       0.000196       0.000196       0.000196
     -4.354354       0.000198       0.000198       0.000198       0.000198
     -4.314314       0.000200       0.000200       0.000200       0.000200
     -4.274274       0.000202       0.000202       0.000202       0.000202
     -4.234234       0.000204       0.000204       0.000204       0.000204
     -4.194194       0.000206       0.000206       0.000206       0.000206
     -4.154154       0.000208       0.000208       0.000208       0.000208
     -4.114114       0.000210       0.000210       0.000210       0.000210
     -4.074074       0.000212       0.000212       0.000212       0.000212
     -4.034034       0.000214       0.000215       0.000215       0.000215
     -3.993994       0.000217       0.000217       0.000217       0.000217
     -3.953954       0.000219       0.000219       0.000219       0.000219
     -3.913914       0.000221       0.000221       0.000221       0.000221
     -3.873874       0.000224       0.000224       0.000224       0.000224
     -3.833834       0.000226       0.000226       0.000226       0.000226
     -3.793794       0.000228       0.000228       0.000228       0.000228
     -3.753754       0.000231       0.000231       0.000231       0.000231
     -3.713714       0.000233       0.000233       0.000233       0.000233
