# Absorcion de rayos X cerca del borde
# Olla-DFT (entonces QEkit 0.12.0) — generado 2026-08-29 01:14 UTC
# comando: olla-dft xanes Si8.cif --collect -o run --element Si --edge K --format png
# parámetros: elemento = Si; borde = K; xgamma_eV = 0.8
#       E-EF(eV)           sigma         sigma_x         sigma_y         sigma_z
     10.180180       0.003503       0.003504       0.003503       0.003503
     10.220220       0.003507       0.003508       0.003507       0.003507
     10.260260       0.003510       0.003511       0.003510       0.003510
     10.300300       0.003513       0.003514       0.003513       0.003513
     10.340340       0.003516       0.003516       0.003516       0.003515
     10.380380       0.003517       0.003517       0.003517       0.003517
     10.420420       0.003517       0.003517       0.003517       0.003517
     10.460460       0.003515       0.003515       0.003516       0.003515
     10.500500       0.003512       0.003512       0.003512       0.003512
     10.540541       0.003507       0.003507       0.003507       0.003507
     10.580581       0.003500       0.003499       0.003500       0.003500
     10.620621       0.003491       0.003490       0.003491       0.003491
     10.660661       0.003479       0.003478       0.003479       0.003479
     10.700701       0.003465       0.003464       0.003465       0.003465
     10.740741       0.003448       0.003448       0.003449       0.003449
     10.780781       0.003430       0.003429       0.003430       0.003430
     10.820821       0.003408       0.003408       0.003409       0.003409
     10.860861       0.003385       0.003385       0.003386       0.003386
     10.900901       0.003360       0.003360       0.003360       0.003360
     10.940941       0.003333       0.003333       0.003334       0.003334
     10.980981       0.003305       0.003305       0.003305       0.003306
     11.021021       0.003277       0.003276       0.003276       0.003277
     11.061061       0.003247       0.003247       0.003247       0.003247
     11.101101       0.003218       0.003218       0.003217       0.003218
     11.141141       0.003188       0.003189       0.003188       0.003188
     11.181181       0.003160       0.003160       0.003159       0.003160
     11.221221       0.003133       0.003133       0.003132       0.003133
     11.261261       0.003107       0.003107       0.003106       0.003107
     11.301301       0.003083       0.003083       0.003082       0.003083
     11.341341       0.003061       0.003062       0.003060       0.003061
     11.381381       0.003041       0.003042       0.003041       0.003041
     11.421421       0.003025       0.003025       0.003024       0.003024
     11.461461       0.003011       0.003011       0.003010       0.003010
     11.501501       0.003000       0.003000       0.002999       0.002999
     11.541542       0.002991       0.002992       0.002991       0.002991
     11.581582       0.002986       0.002987       0.002986       0.002986
     11.621622       0.002984       0.002985       0.002984       0.002984
     11.661662       0.002985       0.002985       0.002985       0.002985
     11.701702       0.002989       0.002989       0.002989       0.002988
     11.741742       0.002995       0.002995       0.002995       0.002995
     11.781782       0.003004       0.003003       0.003004       0.003004
     11.821822       0.003015       0.003014       0.003015       0.003015
     11.861862       0.003028       0.003027       0.003028       0.003028
     11.901902       0.003043       0.003042       0.003043       0.003043
     11.941942       0.003059       0.003059       0.003060       0.003059
     11.981982       0.003077       0.003076       0.003077       0.003077
     12.022022       0.003095       0.003094       0.003096       0.003095
     12.062062       0.003114       0.003113       0.003114       0.003114
     12.102102       0.003133       0.003132       0.003133       0.003133
     12.142142       0.003151       0.003151       0.003152       0.003151
     12.182182       0.003169       0.003169       0.003169       0.003169
     12.222222       0.003186       0.003186       0.003186       0.003186
     12.262262       0.003202       0.003201       0.003202       0.003202
     12.302302       0.003216       0.003215       0.003215       0.003216
     12.342342       0.003228       0.003228       0.003228       0.003228
     12.382382       0.003238       0.003238       0.003238       0.003238
     12.422422       0.003246       0.003246       0.003245       0.003246
     12.462462       0.003251       0.003252       0.003251       0.003251
     12.502503       0.003255       0.003255       0.003254       0.003255
     12.542543       0.003255       0.003256       0.003255       0.003255
     12.582583       0.003254       0.003254       0.003253       0.003254
     12.622623       0.003250       0.003250       0.003249       0.003250
     12.662663       0.003243       0.003244       0.003243       0.003243
     12.702703       0.003235       0.003236       0.003235       0.003235
     12.742743       0.003225       0.003225       0.003224       0.003224
     12.782783       0.003213       0.003213       0.003212       0.003212
     12.822823       0.003199       0.003199       0.003199       0.003199
     12.862863       0.003184       0.003184       0.003184       0.003184
     12.902903       0.003168       0.003168       0.003168       0.003167
     12.942943       0.003151       0.003151       0.003151       0.003151
     12.982983       0.003133       0.003133       0.003134       0.003133
     13.023023       0.003116       0.003116       0.003116       0.003115
     13.063063       0.003098       0.003098       0.003098       0.003098
     13.103103       0.003080       0.003080       0.003081       0.003080
     13.143143       0.003063       0.003063       0.003063       0.003063
     13.183183       0.003046       0.003046       0.003047       0.003046
     13.223223       0.003030       0.003030       0.003031       0.003030
     13.263263       0.003015       0.003014       0.003015       0.003015
     13.303303       0.003000       0.003000       0.003001       0.003001
     13.343343       0.002987       0.002986       0.002987       0.002987
     13.383383       0.002974       0.002973       0.002974       0.002974
     13.423423       0.002961       0.002961       0.002962       0.002962
     13.463463       0.002950       0.002949       0.002950       0.002950
     13.503504       0.002938       0.002938       0.002939       0.002939
     13.543544       0.002928       0.002927       0.002928       0.002928
     13.583584       0.002917       0.002917       0.002917       0.002917
     13.623624       0.002906       0.002906       0.002906       0.002907
     13.663664       0.002896       0.002896       0.002895       0.002896
     13.703704       0.002885       0.002885       0.002884       0.002885
     13.743744       0.002873       0.002873       0.002873       0.002873
     13.783784       0.002861       0.002862       0.002861       0.002862
     13.823824       0.002849       0.002850       0.002849       0.002849
     13.863864       0.002836       0.002837       0.002836       0.002836
     13.903904       0.002822       0.002823       0.002822       0.002822
     13.943944       0.002808       0.002809       0.002807       0.002808
     13.983984       0.002793       0.002794       0.002792       0.002793
     14.024024       0.002777       0.002778       0.002777       0.002777
     14.064064       0.002760       0.002761       0.002760       0.002760
     14.104104       0.002743       0.002744       0.002743       0.002743
     14.144144       0.002725       0.002726       0.002725       0.002725
     14.184184       0.002707       0.002707       0.002707       0.002706
     14.224224       0.002687       0.002688       0.002688       0.002687
     14.264264       0.002668       0.002668       0.002668       0.002667
     14.304304       0.002647       0.002647       0.002648       0.002647
     14.344344       0.002626       0.002626       0.002627       0.002626
     14.384384       0.002605       0.002605       0.002605       0.002605
     14.424424       0.002583       0.002583       0.002584       0.002583
     14.464464       0.002561       0.002560       0.002562       0.002561
     14.504504       0.002539       0.002538       0.002539       0.002539
     14.544545       0.002516       0.002515       0.002516       0.002516
     14.584585       0.002493       0.002492       0.002494       0.002493
     14.624625       0.002470       0.002470       0.002471       0.002471
     14.664665       0.002448       0.002447       0.002448       0.002448
     14.704705       0.002425       0.002424       0.002425       0.002426
     14.744745       0.002403       0.002402       0.002403       0.002403
     14.784785       0.002381       0.002381       0.002381       0.002381
     14.824825       0.002360       0.002359       0.002360       0.002360
     14.864865       0.002339       0.002339       0.002339       0.002339
     14.904905       0.002319       0.002318       0.002318       0.002319
     14.944945       0.002299       0.002299       0.002299       0.002299
     14.984985       0.002280       0.002280       0.002280       0.002280
     15.025025       0.002262       0.002262       0.002262       0.002262
     15.065065       0.002245       0.002245       0.002244       0.002245
     15.105105       0.002228       0.002229       0.002228       0.002228
     15.145145       0.002212       0.002213       0.002212       0.002212
     15.185185       0.002198       0.002198       0.002197       0.002197
     15.225225       0.002184       0.002184       0.002183       0.002183
     15.265265       0.002170       0.002171       0.002170       0.002170
     15.305305       0.002158       0.002158       0.002158       0.002157
     15.345345       0.002146       0.002147       0.002146       0.002146
     15.385385       0.002135       0.002136       0.002135       0.002135
     15.425425       0.002125       0.002125       0.002125       0.002124
     15.465465       0.002115       0.002115       0.002115       0.002115
     15.505506       0.002106       0.002106       0.002106       0.002106
     15.545546       0.002097       0.002097       0.002098       0.002097
     15.585586       0.002089       0.002089       0.002090       0.002089
     15.625626       0.002082       0.002082       0.002082       0.002082
     15.665666       0.002075       0.002075       0.002075       0.002075
     15.705706       0.002068       0.002068       0.002068       0.002068
     15.745746       0.002062       0.002061       0.002062       0.002062
     15.785786       0.002056       0.002055       0.002056       0.002056
     15.825826       0.002050       0.002049       0.002050       0.002050
     15.865866       0.002044       0.002044       0.002045       0.002045
     15.905906       0.002039       0.002038       0.002039       0.002039
     15.945946       0.002034       0.002033       0.002034       0.002034
     15.985986       0.002029       0.002028       0.002029       0.002029
     16.026026       0.002024       0.002023       0.002024       0.002024
     16.066066       0.002019       0.002019       0.002019       0.002020
     16.106106       0.002015       0.002014       0.002015       0.002015
     16.146146       0.002010       0.002010       0.002010       0.002011
     16.186186       0.002006       0.002006       0.002006       0.002006
     16.226226       0.002002       0.002002       0.002002       0.002002
     16.266266       0.001998       0.001998       0.001998       0.001998
     16.306306       0.001994       0.001994       0.001994       0.001995
     16.346346       0.001991       0.001991       0.001991       0.001991
     16.386386       0.001988       0.001988       0.001988       0.001988
     16.426426       0.001985       0.001985       0.001985       0.001985
     16.466466       0.001983       0.001983       0.001982       0.001982
     16.506507       0.001980       0.001981       0.001980       0.001980
     16.546547       0.001978       0.001979       0.001978       0.001978
     16.586587       0.001977       0.001977       0.001977       0.001977
     16.626627       0.001976       0.001976       0.001976       0.001975
     16.666667       0.001975       0.001975       0.001975       0.001974
     16.706707       0.001974       0.001975       0.001974       0.001974
     16.746747       0.001974       0.001975       0.001974       0.001974
     16.786787       0.001975       0.001975       0.001975       0.001974
     16.826827       0.001975       0.001976       0.001975       0.001975
     16.866867       0.001976       0.001976       0.001976       0.001975
     16.906907       0.001977       0.001977       0.001977       0.001976
     16.946947       0.001978       0.001978       0.001978       0.001978
     16.986987       0.001979       0.001979       0.001979       0.001979
     17.027027       0.001980       0.001980       0.001980       0.001980
     17.067067       0.001981       0.001981       0.001981       0.001981
     17.107107       0.001982       0.001982       0.001982       0.001982
     17.147147       0.001983       0.001982       0.001983       0.001983
     17.187187       0.001983       0.001983       0.001983       0.001983
     17.227227       0.001983       0.001982       0.001983       0.001983
     17.267267       0.001982       0.001982       0.001982       0.001982
     17.307307       0.001981       0.001981       0.001981       0.001981
     17.347347       0.001980       0.001979       0.001980       0.001980
     17.387387       0.001978       0.001977       0.001978       0.001978
     17.427427       0.001975       0.001975       0.001975       0.001976
     17.467467       0.001973       0.001972       0.001973       0.001973
     17.507508       0.001970       0.001969       0.001970       0.001970
     17.547548       0.001966       0.001966       0.001966       0.001967
     17.587588       0.001963       0.001962       0.001962       0.001963
     17.627628       0.001958       0.001958       0.001958       0.001959
     17.667668       0.001954       0.001954       0.001954       0.001954
     17.707708       0.001949       0.001949       0.001949       0.001950
     17.747748       0.001944       0.001944       0.001944       0.001945
     17.787788       0.001939       0.001939       0.001939       0.001939
     17.827828       0.001934       0.001934       0.001934       0.001934
     17.867868       0.001928       0.001928       0.001928       0.001928
     17.907908       0.001922       0.001922       0.001922       0.001922
     17.947948       0.001916       0.001916       0.001916       0.001915
     17.987988       0.001909       0.001909       0.001909       0.001909
     18.028028       0.001902       0.001902       0.001902       0.001902
     18.068068       0.001895       0.001895       0.001895       0.001895
     18.108108       0.001888       0.001888       0.001888       0.001888
     18.148148       0.001881       0.001881       0.001881       0.001881
     18.188188       0.001874       0.001874       0.001874       0.001873
     18.228228       0.001866       0.001866       0.001866       0.001866
     18.268268       0.001859       0.001859       0.001859       0.001858
     18.308308       0.001851       0.001851       0.001851       0.001851
     18.348348       0.001844       0.001844       0.001844       0.001843
     18.388388       0.001836       0.001837       0.001836       0.001836
     18.428428       0.001829       0.001829       0.001829       0.001829
     18.468468       0.001822       0.001822       0.001822       0.001821
     18.508509       0.001815       0.001815       0.001815       0.001814
     18.548549       0.001808       0.001808       0.001808       0.001807
     18.588589       0.001801       0.001801       0.001801       0.001801
     18.628629       0.001794       0.001794       0.001794       0.001794
     18.668669       0.001788       0.001788       0.001788       0.001788
     18.708709       0.001781       0.001781       0.001781       0.001781
     18.748749       0.001775       0.001775       0.001775       0.001775
     18.788789       0.001769       0.001769       0.001769       0.001769
     18.828829       0.001763       0.001763       0.001763       0.001763
     18.868869       0.001758       0.001758       0.001758       0.001758
     18.908909       0.001752       0.001752       0.001752       0.001752
     18.948949       0.001747       0.001747       0.001747       0.001747
     18.988989       0.001742       0.001741       0.001742       0.001742
     19.029029       0.001737       0.001736       0.001737       0.001737
     19.069069       0.001732       0.001731       0.001732       0.001732
     19.109109       0.001727       0.001727       0.001727       0.001727
     19.149149       0.001722       0.001722       0.001722       0.001723
     19.189189       0.001718       0.001717       0.001718       0.001718
     19.229229       0.001713       0.001713       0.001714       0.001714
     19.269269       0.001709       0.001709       0.001709       0.001709
     19.309309       0.001705       0.001704       0.001705       0.001705
     19.349349       0.001701       0.001700       0.001701       0.001701
     19.389389       0.001697       0.001696       0.001697       0.001697
     19.429429       0.001692       0.001692       0.001693       0.001693
     19.469469       0.001688       0.001688       0.001688       0.001688
     19.509510       0.001684       0.001684       0.001684       0.001684
     19.549550       0.001680       0.001680       0.001680       0.001680
     19.589590       0.001676       0.001676       0.001676       0.001676
     19.629630       0.001671       0.001671       0.001671       0.001671
     19.669670       0.001667       0.001667       0.001667       0.001666
     19.709710       0.001662       0.001662       0.001662       0.001662
     19.749750       0.001657       0.001657       0.001657       0.001657
     19.789790       0.001652       0.001652       0.001652       0.001651
     19.829830       0.001646       0.001647       0.001646       0.001646
     19.869870       0.001641       0.001641       0.001641       0.001640
     19.909910       0.001635       0.001635       0.001635       0.001634
     19.949950       0.001629       0.001629       0.001628       0.001628
     19.989990       0.001622       0.001623       0.001622       0.001622
     20.030030       0.001615       0.001616       0.001615       0.001615
     20.070070       0.001608       0.001609       0.001608       0.001608
     20.110110       0.001601       0.001601       0.001600       0.001600
     20.150150       0.001593       0.001593       0.001593       0.001593
     20.190190       0.001585       0.001585       0.001585       0.001585
     20.230230       0.001576       0.001577       0.001576       0.001576
     20.270270       0.001568       0.001568       0.001568       0.001568
     20.310310       0.001559       0.001559       0.001559       0.001559
     20.350350       0.001550       0.001550       0.001550       0.001550
     20.390390       0.001540       0.001540       0.001540       0.001540
     20.430430       0.001531       0.001530       0.001531       0.001531
     20.470470       0.001521       0.001520       0.001521       0.001521
     20.510511       0.001511       0.001510       0.001511       0.001511
     20.550551       0.001500       0.001500       0.001500       0.001501
     20.590591       0.001490       0.001489       0.001490       0.001490
     20.630631       0.001479       0.001479       0.001480       0.001480
     20.670671       0.001469       0.001468       0.001469       0.001469
     20.710711       0.001458       0.001457       0.001458       0.001458
     20.750751       0.001447       0.001447       0.001448       0.001448
     20.790791       0.001437       0.001436       0.001437       0.001437
     20.830831       0.001426       0.001426       0.001426       0.001426
     20.870871       0.001416       0.001415       0.001416       0.001416
     20.910911       0.001405       0.001405       0.001405       0.001405
     20.950951       0.001395       0.001394       0.001395       0.001395
     20.990991       0.001385       0.001384       0.001385       0.001385
     21.031031       0.001374       0.001374       0.001375       0.001375
     21.071071       0.001364       0.001364       0.001365       0.001364
     21.111111       0.001355       0.001355       0.001355       0.001355
     21.151151       0.001345       0.001345       0.001345       0.001345
     21.191191       0.001335       0.001336       0.001335       0.001335
     21.231231       0.001326       0.001326       0.001326       0.001326
     21.271271       0.001317       0.001317       0.001317       0.001317
     21.311311       0.001308       0.001308       0.001308       0.001308
     21.351351       0.001299       0.001300       0.001299       0.001299
     21.391391       0.001290       0.001291       0.001290       0.001290
     21.431431       0.001282       0.001283       0.001282       0.001282
     21.471471       0.001274       0.001274       0.001273       0.001273
     21.511512       0.001266       0.001266       0.001265       0.001265
     21.551552       0.001258       0.001258       0.001258       0.001257
     21.591592       0.001250       0.001251       0.001250       0.001250
     21.631632       0.001243       0.001243       0.001242       0.001242
     21.671672       0.001235       0.001236       0.001235       0.001235
     21.711712       0.001228       0.001229       0.001228       0.001228
     21.751752       0.001222       0.001222       0.001221       0.001221
     21.791792       0.001215       0.001215       0.001215       0.001215
     21.831832       0.001209       0.001209       0.001208       0.001208
     21.871872       0.001202       0.001202       0.001202       0.001202
     21.911912       0.001196       0.001196       0.001196       0.001196
     21.951952       0.001190       0.001190       0.001190       0.001190
     21.991992       0.001185       0.001184       0.001185       0.001185
     22.032032       0.001179       0.001179       0.001179       0.001179
     22.072072       0.001173       0.001173       0.001173       0.001174
     22.112112       0.001168       0.001167       0.001168       0.001168
     22.152152       0.001162       0.001162       0.001162       0.001163
     22.192192       0.001157       0.001156       0.001157       0.001157
     22.232232       0.001151       0.001151       0.001151       0.001152
     22.272272       0.001145       0.001145       0.001146       0.001146
     22.312312       0.001140       0.001139       0.001140       0.001140
     22.352352       0.001134       0.001133       0.001134       0.001134
     22.392392       0.001128       0.001127       0.001128       0.001128
     22.432432       0.001121       0.001121       0.001122       0.001122
     22.472472       0.001115       0.001114       0.001115       0.001115
     22.512513       0.001108       0.001108       0.001108       0.001108
     22.552553       0.001101       0.001101       0.001101       0.001101
     22.592593       0.001094       0.001094       0.001094       0.001094
     22.632633       0.001087       0.001087       0.001087       0.001087
     22.672673       0.001080       0.001080       0.001080       0.001080
     22.712713       0.001072       0.001072       0.001072       0.001072
     22.752753       0.001065       0.001065       0.001064       0.001064
     22.792793       0.001057       0.001057       0.001057       0.001057
     22.832833       0.001049       0.001050       0.001049       0.001049
     22.872873       0.001042       0.001042       0.001042       0.001041
     22.912913       0.001034       0.001035       0.001034       0.001034
     22.952953       0.001027       0.001027       0.001027       0.001026
     22.992993       0.001019       0.001020       0.001019       0.001019
     23.033033       0.001012       0.001013       0.001012       0.001012
     23.073073       0.001005       0.001006       0.001005       0.001005
     23.113113       0.000998       0.000999       0.000998       0.000998
     23.153153       0.000992       0.000992       0.000992       0.000991
     23.193193       0.000985       0.000986       0.000985       0.000985
     23.233233       0.000979       0.000980       0.000979       0.000979
     23.273273       0.000974       0.000974       0.000973       0.000973
     23.313313       0.000968       0.000968       0.000968       0.000968
     23.353353       0.000963       0.000963       0.000963       0.000963
     23.393393       0.000958       0.000958       0.000958       0.000958
     23.433433       0.000954       0.000954       0.000954       0.000954
     23.473473       0.000950       0.000950       0.000950       0.000950
     23.513514       0.000946       0.000946       0.000946       0.000946
     23.553554       0.000943       0.000942       0.000943       0.000943
     23.593594       0.000940       0.000939       0.000940       0.000940
     23.633634       0.000937       0.000937       0.000937       0.000937
     23.673674       0.000935       0.000934       0.000935       0.000935
     23.713714       0.000933       0.000933       0.000933       0.000933
     23.753754       0.000931       0.000931       0.000931       0.000932
     23.793794       0.000930       0.000930       0.000930       0.000931
     23.833834       0.000930       0.000929       0.000930       0.000930
     23.873874       0.000929       0.000929       0.000929       0.000930
     23.913914       0.000929       0.000929       0.000929       0.000930
     23.953954       0.000930       0.000930       0.000930       0.000930
     23.993994       0.000931       0.000930       0.000931       0.000931
     24.034034       0.000932       0.000932       0.000932       0.000932
     24.074074       0.000934       0.000933       0.000934       0.000934
     24.114114       0.000936       0.000935       0.000936       0.000936
     24.154154       0.000938       0.000938       0.000938       0.000938
     24.194194       0.000941       0.000941       0.000941       0.000941
     24.234234       0.000944       0.000944       0.000944       0.000944
     24.274274       0.000947       0.000947       0.000947       0.000947
     24.314314       0.000951       0.000951       0.000951       0.000951
     24.354354       0.000955       0.000955       0.000956       0.000955
     24.394394       0.000960       0.000960       0.000960       0.000960
     24.434434       0.000965       0.000965       0.000965       0.000965
     24.474474       0.000970       0.000970       0.000970       0.000970
     24.514515       0.000976       0.000976       0.000976       0.000975
     24.554555       0.000981       0.000981       0.000981       0.000981
     24.594595       0.000987       0.000987       0.000987       0.000987
     24.634635       0.000993       0.000993       0.000993       0.000993
     24.674675       0.001000       0.001000       0.001000       0.000999
     24.714715       0.001006       0.001006       0.001006       0.001006
     24.754755       0.001013       0.001013       0.001013       0.001012
     24.794795       0.001019       0.001019       0.001019       0.001019
     24.834835       0.001026       0.001026       0.001026       0.001026
     24.874875       0.001033       0.001033       0.001033       0.001033
     24.914915       0.001039       0.001040       0.001039       0.001039
     24.954955       0.001046       0.001046       0.001046       0.001046
     24.994995       0.001053       0.001053       0.001053       0.001053
     25.035035       0.001059       0.001060       0.001059       0.001059
     25.075075       0.001066       0.001066       0.001066       0.001066
     25.115115       0.001072       0.001073       0.001072       0.001072
     25.155155       0.001079       0.001079       0.001078       0.001079
     25.195195       0.001085       0.001085       0.001085       0.001085
     25.235235       0.001091       0.001091       0.001090       0.001091
     25.275275       0.001096       0.001096       0.001096       0.001096
     25.315315       0.001102       0.001102       0.001102       0.001102
     25.355355       0.001107       0.001107       0.001107       0.001107
     25.395395       0.001112       0.001112       0.001112       0.001112
     25.435435       0.001117       0.001117       0.001117       0.001117
     25.475475       0.001121       0.001121       0.001121       0.001121
     25.515516       0.001125       0.001125       0.001125       0.001126
     25.555556       0.001129       0.001129       0.001129       0.001129
     25.595596       0.001133       0.001133       0.001133       0.001133
     25.635636       0.001136       0.001136       0.001136       0.001136
     25.675676       0.001138       0.001138       0.001138       0.001139
     25.715716       0.001141       0.001141       0.001141       0.001141
     25.755756       0.001143       0.001143       0.001143       0.001143
     25.795796       0.001144       0.001144       0.001144       0.001144
     25.835836       0.001145       0.001145       0.001145       0.001145
     25.875876       0.001146       0.001146       0.001146       0.001146
     25.915916       0.001146       0.001146       0.001146       0.001146
     25.955956       0.001146       0.001145       0.001146       0.001146
     25.995996       0.001145       0.001144       0.001145       0.001145
     26.036036       0.001143       0.001143       0.001143       0.001143
     26.076076       0.001141       0.001141       0.001141       0.001141
     26.116116       0.001138       0.001138       0.001138       0.001138
     26.156156       0.001134       0.001134       0.001135       0.001134
     26.196196       0.001130       0.001130       0.001130       0.001130
     26.236236       0.001125       0.001125       0.001125       0.001125
     26.276276       0.001119       0.001119       0.001119       0.001119
     26.316316       0.001113       0.001112       0.001113       0.001112
     26.356356       0.001105       0.001105       0.001105       0.001105
     26.396396       0.001097       0.001097       0.001097       0.001097
     26.436436       0.001089       0.001089       0.001089       0.001088
     26.476476       0.001079       0.001079       0.001079       0.001079
     26.516517       0.001069       0.001070       0.001069       0.001069
     26.556557       0.001059       0.001059       0.001059       0.001059
     26.596597       0.001048       0.001049       0.001048       0.001048
     26.636637       0.001037       0.001038       0.001037       0.001037
     26.676677       0.001026       0.001026       0.001026       0.001026
     26.716717       0.001015       0.001015       0.001014       0.001014
     26.756757       0.001003       0.001003       0.001003       0.001003
     26.796797       0.000991       0.000992       0.000991       0.000991
     26.836837       0.000980       0.000980       0.000979       0.000979
     26.876877       0.000968       0.000968       0.000968       0.000968
     26.916917       0.000956       0.000957       0.000956       0.000956
     26.956957       0.000945       0.000946       0.000945       0.000945
     26.996997       0.000934       0.000934       0.000934       0.000934
     27.037037       0.000923       0.000924       0.000923       0.000923
     27.077077       0.000913       0.000913       0.000913       0.000913
     27.117117       0.000903       0.000903       0.000903       0.000903
     27.157157       0.000893       0.000893       0.000893       0.000893
     27.197197       0.000883       0.000884       0.000883       0.000884
     27.237237       0.000874       0.000874       0.000874       0.000874
     27.277277       0.000866       0.000866       0.000866       0.000866
     27.317317       0.000857       0.000857       0.000857       0.000857
     27.357357       0.000849       0.000849       0.000849       0.000850
     27.397397       0.000842       0.000842       0.000842       0.000842
     27.437437       0.000835       0.000834       0.000835       0.000835
     27.477477       0.000828       0.000828       0.000828       0.000828
     27.517518       0.000821       0.000821       0.000822       0.000822
     27.557558       0.000815       0.000815       0.000816       0.000815
     27.597598       0.000810       0.000809       0.000810       0.000810
     27.637638       0.000804       0.000804       0.000804       0.000804
     27.677678       0.000799       0.000799       0.000799       0.000799
     27.717718       0.000794       0.000794       0.000795       0.000794
     27.757758       0.000790       0.000790       0.000790       0.000790
     27.797798       0.000786       0.000785       0.000786       0.000786
     27.837838       0.000782       0.000782       0.000782       0.000782
     27.877878       0.000779       0.000778       0.000779       0.000779
     27.917918       0.000775       0.000775       0.000776       0.000775
     27.957958       0.000772       0.000772       0.000773       0.000772
     27.997998       0.000770       0.000770       0.000770       0.000770
     28.038038       0.000767       0.000767       0.000768       0.000767
     28.078078       0.000765       0.000765       0.000765       0.000765
     28.118118       0.000764       0.000764       0.000764       0.000764
     28.158158       0.000762       0.000762       0.000762       0.000762
     28.198198       0.000761       0.000761       0.000761       0.000761
     28.238238       0.000760       0.000760       0.000760       0.000760
     28.278278       0.000759       0.000759       0.000759       0.000759
     28.318318       0.000758       0.000759       0.000758       0.000758
     28.358358       0.000758       0.000758       0.000758       0.000758
     28.398398       0.000758       0.000758       0.000758       0.000758
     28.438438       0.000758       0.000758       0.000758       0.000758
     28.478478       0.000758       0.000758       0.000758       0.000758
     28.518519       0.000758       0.000758       0.000758       0.000758
     28.558559       0.000759       0.000759       0.000758       0.000758
     28.598599       0.000759       0.000759       0.000759       0.000759
     28.638639       0.000760       0.000760       0.000759       0.000759
     28.678679       0.000760       0.000760       0.000760       0.000760
     28.718719       0.000761       0.000761       0.000760       0.000761
     28.758759       0.000761       0.000761       0.000761       0.000761
     28.798799       0.000762       0.000762       0.000762       0.000762
     28.838839       0.000762       0.000762       0.000762       0.000762
     28.878879       0.000762       0.000763       0.000762       0.000762
     28.918919       0.000763       0.000763       0.000762       0.000763
     28.958959       0.000763       0.000763       0.000762       0.000763
     28.998999       0.000762       0.000762       0.000762       0.000762
     29.039039       0.000762       0.000762       0.000762       0.000762
     29.079079       0.000761       0.000761       0.000761       0.000761
     29.119119       0.000760       0.000760       0.000760       0.000760
     29.159159       0.000759       0.000759       0.000759       0.000759
     29.199199       0.000757       0.000757       0.000757       0.000757
     29.239239       0.000755       0.000755       0.000755       0.000755
     29.279279       0.000753       0.000753       0.000753       0.000753
     29.319319       0.000750       0.000750       0.000751       0.000751
     29.359359       0.000748       0.000747       0.000748       0.000748
     29.399399       0.000744       0.000744       0.000745       0.000744
     29.439439       0.000741       0.000741       0.000741       0.000741
     29.479479       0.000737       0.000737       0.000737       0.000737
     29.519520       0.000733       0.000733       0.000733       0.000733
     29.559560       0.000729       0.000729       0.000729       0.000729
     29.599600       0.000724       0.000724       0.000725       0.000725
     29.639640       0.000720       0.000720       0.000720       0.000720
     29.679680       0.000715       0.000715       0.000715       0.000715
     29.719720       0.000710       0.000710       0.000710       0.000710
     29.759760       0.000705       0.000705       0.000705       0.000705
     29.799800       0.000700       0.000699       0.000700       0.000700
     29.839840       0.000694       0.000694       0.000694       0.000694
     29.879880       0.000689       0.000689       0.000689       0.000689
     29.919920       0.000684       0.000683       0.000684       0.000684
     29.959960       0.000678       0.000678       0.000678       0.000678
     30.000000       0.000673       0.000673       0.000673       0.000673
