# Funciones ópticas — Olla-DFT (promedio isótropo)
#      E(eV)         eps1         eps2          n          k    alpha(1/cm)          R
  1.032541e+00   1.098284e+01   5.718570e-03   3.314037e+00   8.627801e-04   9.029233e+01   2.877219e-01
  1.051314e+00   1.100403e+01   6.384645e-03   3.317232e+00   9.623451e-04   1.025432e+02   2.880901e-01
  1.070088e+00   1.102569e+01   7.086999e-03   3.320495e+00   1.067160e-03   1.157424e+02   2.884658e-01
  1.088861e+00   1.104782e+01   7.825367e-03   3.323826e+00   1.177163e-03   1.299129e+02   2.888490e-01
  1.107635e+00   1.107043e+01   8.599500e-03   3.327225e+00   1.292293e-03   1.450778e+02   2.892397e-01
  1.126408e+00   1.109352e+01   9.409171e-03   3.330694e+00   1.412494e-03   1.612597e+02   2.896381e-01
  1.145181e+00   1.111711e+01   1.025418e-02   3.334233e+00   1.537712e-03   1.784814e+02   2.900441e-01
  1.163955e+00   1.114119e+01   1.113436e-02   3.337842e+00   1.667898e-03   1.967656e+02   2.904578e-01
  1.182728e+00   1.116577e+01   1.204957e-02   3.341523e+00   1.803006e-03   2.161353e+02   2.908793e-01
  1.201502e+00   1.119087e+01   1.299972e-02   3.345276e+00   1.942996e-03   2.366137e+02   2.913087e-01
  1.220275e+00   1.121648e+01   1.398473e-02   3.349102e+00   2.087832e-03   2.582242e+02   2.917460e-01
  1.239049e+00   1.124262e+01   1.500458e-02   3.353003e+00   2.237483e-03   2.809906e+02   2.921913e-01
  1.257822e+00   1.126930e+01   1.605928e-02   3.356978e+00   2.391925e-03   3.049372e+02   2.926447e-01
  1.276596e+00   1.129651e+01   1.714890e-02   3.361029e+00   2.551138e-03   3.300888e+02   2.931063e-01
  1.295369e+00   1.132428e+01   1.827352e-02   3.365157e+00   2.715106e-03   3.564708e+02   2.935761e-01
  1.314143e+00   1.135260e+01   1.943330e-02   3.369364e+00   2.883823e-03   3.841091e+02   2.940543e-01
  1.332916e+00   1.138150e+01   2.062840e-02   3.373649e+00   3.057284e-03   4.130305e+02   2.945409e-01
  1.351690e+00   1.141097e+01   2.185908e-02   3.378014e+00   3.235493e-03   4.432625e+02   2.950360e-01
  1.370463e+00   1.144103e+01   2.312560e-02   3.382460e+00   3.418459e-03   4.748333e+02   2.955398e-01
  1.389237e+00   1.147168e+01   2.442829e-02   3.386989e+00   3.606196e-03   5.077723e+02   2.960523e-01
  1.408010e+00   1.150294e+01   2.576752e-02   3.391601e+00   3.798725e-03   5.421096e+02   2.965736e-01
  1.426783e+00   1.153483e+01   2.714371e-02   3.396298e+00   3.996072e-03   5.778764e+02   2.971039e-01
  1.445557e+00   1.156734e+01   2.855733e-02   3.401082e+00   4.198272e-03   6.151051e+02   2.976432e-01
  1.464330e+00   1.160049e+01   3.000891e-02   3.405952e+00   4.405363e-03   6.538292e+02   2.981916e-01
  1.483104e+00   1.163430e+01   3.149902e-02   3.410912e+00   4.617390e-03   6.940835e+02   2.987494e-01
  1.501877e+00   1.166877e+01   3.302829e-02   3.415961e+00   4.834406e-03   7.359040e+02   2.993165e-01
  1.520651e+00   1.170392e+01   3.459740e-02   3.421103e+00   5.056469e-03   7.793282e+02   2.998931e-01
  1.539424e+00   1.173976e+01   3.620709e-02   3.426337e+00   5.283645e-03   8.243952e+02   3.004794e-01
  1.558198e+00   1.177630e+01   3.785817e-02   3.431666e+00   5.516004e-03   8.711454e+02   3.010755e-01
  1.576971e+00   1.181357e+01   3.955148e-02   3.437092e+00   5.753626e-03   9.196211e+02   3.016815e-01
  1.595745e+00   1.185156e+01   4.128795e-02   3.442615e+00   5.996597e-03   9.698661e+02   3.022975e-01
  1.614518e+00   1.189031e+01   4.306857e-02   3.448238e+00   6.245010e-03   1.021926e+03   3.029237e-01
  1.633292e+00   1.192982e+01   4.489438e-02   3.453963e+00   6.498966e-03   1.075850e+03   3.035603e-01
  1.652065e+00   1.197011e+01   4.676651e-02   3.459791e+00   6.758574e-03   1.131686e+03   3.042073e-01
  1.670839e+00   1.201119e+01   4.868614e-02   3.465724e+00   7.023950e-03   1.189486e+03   3.048650e-01
  1.689612e+00   1.205309e+01   5.065455e-02   3.471764e+00   7.295218e-03   1.249306e+03   3.055336e-01
  1.708385e+00   1.209583e+01   5.267308e-02   3.477914e+00   7.572511e-03   1.311201e+03   3.062131e-01
  1.727159e+00   1.213941e+01   5.474316e-02   3.484174e+00   7.855973e-03   1.375232e+03   3.069037e-01
  1.745932e+00   1.218386e+01   5.686629e-02   3.490548e+00   8.145754e-03   1.441459e+03   3.076057e-01
  1.764706e+00   1.222920e+01   5.904408e-02   3.497038e+00   8.442014e-03   1.509948e+03   3.083192e-01
  1.783479e+00   1.227545e+01   6.127823e-02   3.503645e+00   8.744926e-03   1.580767e+03   3.090444e-01
  1.802253e+00   1.232263e+01   6.357052e-02   3.510373e+00   9.054669e-03   1.653986e+03   3.097815e-01
  1.821026e+00   1.237077e+01   6.592286e-02   3.517223e+00   9.371437e-03   1.729681e+03   3.105306e-01
  1.839800e+00   1.241988e+01   6.833725e-02   3.524198e+00   9.695432e-03   1.807929e+03   3.112921e-01
  1.858573e+00   1.246999e+01   7.081582e-02   3.531302e+00   1.002687e-02   1.888812e+03   3.120661e-01
  1.877347e+00   1.252113e+01   7.336081e-02   3.538536e+00   1.036598e-02   1.972416e+03   3.128528e-01
  1.896120e+00   1.257332e+01   7.597459e-02   3.545904e+00   1.071301e-02   2.058831e+03   3.136525e-01
  1.914894e+00   1.262659e+01   7.865967e-02   3.553408e+00   1.106820e-02   2.148153e+03   3.144654e-01
  1.933667e+00   1.268096e+01   8.141871e-02   3.561052e+00   1.143183e-02   2.240480e+03   3.152918e-01
  1.952441e+00   1.273647e+01   8.425452e-02   3.568838e+00   1.180419e-02   2.335919e+03   3.161318e-01
  1.971214e+00   1.279314e+01   8.717007e-02   3.576771e+00   1.218558e-02   2.434578e+03   3.169858e-01
  1.989987e+00   1.285101e+01   9.016851e-02   3.584852e+00   1.257632e-02   2.536574e+03   3.178541e-01
  2.008761e+00   1.291011e+01   9.325317e-02   3.593087e+00   1.297675e-02   2.642030e+03   3.187368e-01
  2.027534e+00   1.297047e+01   9.642759e-02   3.601478e+00   1.338722e-02   2.751074e+03   3.196344e-01
  2.046308e+00   1.303213e+01   9.969551e-02   3.610030e+00   1.380813e-02   2.863844e+03   3.205470e-01
  2.065081e+00   1.309512e+01   1.030609e-01   3.618746e+00   1.423986e-02   2.980482e+03   3.214751e-01
  2.083855e+00   1.315949e+01   1.065280e-01   3.627631e+00   1.468286e-02   3.101142e+03   3.224189e-01
  2.102628e+00   1.322528e+01   1.101012e-01   3.636689e+00   1.513757e-02   3.225983e+03   3.233788e-01
  2.121402e+00   1.329252e+01   1.137854e-01   3.645924e+00   1.560447e-02   3.355177e+03   3.243551e-01
  2.140175e+00   1.336127e+01   1.175856e-01   3.655342e+00   1.608407e-02   3.488903e+03   3.253483e-01
  2.158949e+00   1.343156e+01   1.215071e-01   3.664947e+00   1.657693e-02   3.627354e+03   3.263586e-01
  2.177722e+00   1.350345e+01   1.255558e-01   3.674744e+00   1.708361e-02   3.770731e+03   3.273864e-01
  2.196496e+00   1.357699e+01   1.297376e-01   3.684738e+00   1.760472e-02   3.919251e+03   3.284323e-01
  2.215269e+00   1.365223e+01   1.340592e-01   3.694936e+00   1.814093e-02   4.073143e+03   3.294965e-01
  2.234043e+00   1.372922e+01   1.385275e-01   3.705344e+00   1.869294e-02   4.232651e+03   3.305796e-01
  2.252816e+00   1.380803e+01   1.431500e-01   3.715966e+00   1.926147e-02   4.398036e+03   3.316820e-01
  2.271589e+00   1.388872e+01   1.479346e-01   3.726810e+00   1.984734e-02   4.569574e+03   3.328042e-01
  2.290363e+00   1.397135e+01   1.528898e-01   3.737883e+00   2.045139e-02   4.747562e+03   3.339468e-01
  2.309136e+00   1.405599e+01   1.580249e-01   3.749191e+00   2.107453e-02   4.932318e+03   3.351101e-01
  2.327910e+00   1.414272e+01   1.633496e-01   3.760743e+00   2.171774e-02   5.124179e+03   3.362949e-01
  2.346683e+00   1.423160e+01   1.688746e-01   3.772545e+00   2.238206e-02   5.323509e+03   3.375017e-01
  2.365457e+00   1.432272e+01   1.746113e-01   3.784607e+00   2.306861e-02   5.530699e+03   3.387310e-01
  2.384230e+00   1.441616e+01   1.805718e-01   3.796937e+00   2.377861e-02   5.746167e+03   3.399836e-01
  2.403004e+00   1.451202e+01   1.867695e-01   3.809543e+00   2.451337e-02   5.970366e+03   3.412601e-01
  2.421777e+00   1.461038e+01   1.932186e-01   3.822437e+00   2.527427e-02   6.203780e+03   3.425613e-01
  2.440551e+00   1.471136e+01   1.999348e-01   3.835627e+00   2.606286e-02   6.446937e+03   3.438878e-01
  2.459324e+00   1.481505e+01   2.069349e-01   3.849126e+00   2.688076e-02   6.700403e+03   3.452404e-01
  2.478098e+00   1.492156e+01   2.142371e-01   3.862944e+00   2.772977e-02   6.964794e+03   3.466201e-01
  2.496871e+00   1.503103e+01   2.218614e-01   3.877093e+00   2.861183e-02   7.240778e+03   3.480276e-01
  2.515645e+00   1.514357e+01   2.298295e-01   3.891587e+00   2.952903e-02   7.529081e+03   3.494639e-01
  2.534418e+00   1.525933e+01   2.381653e-01   3.906439e+00   3.048368e-02   7.830495e+03   3.509301e-01
  2.553191e+00   1.537845e+01   2.468946e-01   3.921663e+00   3.147830e-02   8.145884e+03   3.524270e-01
